Time,Open,High,Low,Close,Volume
2022-05-02 07:44:00,39014.83,39020.92,39010.14,39020.91,12.00643
2022-05-02 07:45:00,39020.92,39020.92,39005.94,39012.76,24.78545
2022-05-02 07:46:00,39012.76,39012.76,39000.24,39003.29,11.01751
2022-05-02 07:47:00,39003.28,39006.05,38987.52,38993.07,16.15163
2022-05-02 07:48:00,38993.07,39009.93,38993.07,39009.92,11.06306
2022-05-02 07:49:00,39009.92,39009.93,38990.0,38990.01,9.38823
2022-05-02 07:50:00,38990.01,38990.01,38974.25,38980.86,15.14366
2022-05-02 07:51:00,38980.86,38982.93,38980.84,38980.84,8.51197
2022-05-02 07:52:00,38980.84,38990.0,38980.84,38984.15,16.76812
2022-05-02 07:53:00,38984.16,38987.08,38976.54,38984.15,8.47463
2022-05-02 07:54:00,38984.14,38984.15,38972.83,38975.65,6.883
2022-05-02 07:55:00,38975.65,38980.67,38964.22,38964.22,10.55942
2022-05-02 07:56:00,38964.23,38964.23,38945.13,38945.14,16.59669
2022-05-02 07:57:00,38945.14,38948.91,38901.0,38901.0,75.53974
2022-05-02 07:58:00,38901.01,38901.01,38856.48,38872.8,166.35245
2022-05-02 07:59:00,38872.79,38881.47,38826.7,38881.47,75.5487
2022-05-02 08:00:00,38881.46,38895.0,38860.17,38894.99,81.90501
2022-05-02 08:01:00,38895.0,38896.81,38861.25,38885.98,64.05731
2022-05-02 08:02:00,38885.99,38888.65,38856.33,38856.34,29.46773
2022-05-02 08:03:00,38856.33,38896.98,38846.97,38894.28,30.68647
2022-05-02 08:04:00,38894.28,38919.59,38891.63,38913.26,50.70719
2022-05-02 08:05:00,38913.27,38913.27,38900.21,38901.48,21.49798
2022-05-02 08:06:00,38901.49,38926.55,38895.86,38918.75,29.16981
2022-05-02 08:07:00,38918.75,38945.42,38918.74,38943.3,21.43365
2022-05-02 08:08:00,38943.3,38950.0,38930.01,38949.99,16.1467
2022-05-02 08:09:00,38949.99,38996.84,38943.8,38988.65,30.55674
2022-05-02 08:10:00,38988.65,38994.35,38979.75,38989.9,36.40423
2022-05-02 08:11:00,38989.9,38994.32,38965.47,38965.47,17.01514
2022-05-02 08:12:00,38965.48,38985.46,38962.74,38972.01,22.54052
2022-05-02 08:13:00,38971.32,38971.32,38943.74,38948.16,10.68149
2022-05-02 08:14:00,38948.15,38960.0,38943.74,38953.47,9.49324
2022-05-02 08:15:00,38953.46,38955.68,38935.59,38943.25,27.22138
2022-05-02 08:16:00,38943.25,38946.14,38936.99,38942.61,9.18983
2022-05-02 08:17:00,38942.61,38954.07,38942.6,38953.97,9.26598
2022-05-02 08:18:00,38953.98,38966.99,38953.97,38957.87,11.32368
2022-05-02 08:19:00,38957.88,38983.43,38950.46,38969.3,40.83185
2022-05-02 08:20:00,38969.29,38970.03,38958.76,38960.01,33.3066
2022-05-02 08:21:00,38960.04,38976.05,38950.74,38950.75,38.56318
2022-05-02 08:22:00,38950.75,38958.6,38925.22,38929.88,21.72587
2022-05-02 08:23:00,38929.88,38938.46,38917.88,38927.15,17.85364
2022-05-02 08:24:00,38927.15,38941.34,38927.14,38941.02,17.6876
2022-05-02 08:25:00,38941.02,38941.02,38920.17,38926.01,10.82517
2022-05-02 08:26:00,38926.0,38933.43,38918.61,38918.61,9.69666
2022-05-02 08:27:00,38918.62,38918.62,38892.13,38892.23,33.95165
2022-05-02 08:28:00,38892.22,38902.47,38891.0,38891.01,11.42402
2022-05-02 08:29:00,38891.0,38914.91,38886.43,38913.38,35.94815
2022-05-02 08:30:00,38913.39,38913.39,38867.5,38867.5,36.99717
2022-05-02 08:31:00,38867.5,38869.46,38847.45,38851.0,38.26981
2022-05-02 08:32:00,38850.99,38863.44,38830.0,38835.37,30.28836
2022-05-02 08:33:00,38835.37,38848.49,38830.02,38830.03,18.83068
2022-05-02 08:34:00,38830.02,38857.72,38830.02,38838.76,22.86309
2022-05-02 08:35:00,38838.76,38855.73,38838.76,38840.01,22.45414
2022-05-02 08:36:00,38840.02,38849.41,38820.4,38820.4,27.41633
2022-05-02 08:37:00,38820.4,38830.2,38782.29,38814.02,82.58042
2022-05-02 08:38:00,38814.02,38814.03,38786.0,38786.0,20.54953
2022-05-02 08:39:00,38786.0,38842.69,38786.0,38837.82,31.02862
2022-05-02 08:40:00,38837.82,38877.66,38836.9,38872.13,28.83173
2022-05-02 08:41:00,38872.14,38872.14,38815.68,38827.24,41.42439
2022-05-02 08:42:00,38827.24,38827.25,38815.69,38816.21,7.29544
2022-05-02 08:43:00,38816.21,38821.08,38790.0,38819.68,22.10781
2022-05-02 08:44:00,38819.68,38948.47,38819.68,38940.59,132.43732
2022-05-02 08:45:00,38940.59,38953.05,38926.1,38932.24,66.31363
2022-05-02 08:46:00,38932.25,38932.25,38891.5,38922.69,50.26322
2022-05-02 08:47:00,38922.68,38938.81,38922.68,38935.57,28.69639
2022-05-02 08:48:00,38935.56,38942.1,38928.08,38932.26,15.33112
2022-05-02 08:49:00,38932.26,38938.25,38925.35,38938.25,15.41758
2022-05-02 08:50:00,38938.24,38938.25,38922.76,38922.77,22.30251
2022-05-02 08:51:00,38922.76,38926.36,38887.69,38919.36,34.60503
2022-05-02 08:52:00,38919.37,38924.23,38902.32,38924.23,29.8224
2022-05-02 08:53:00,38924.22,38924.23,38897.27,38915.48,27.12288
2022-05-02 08:54:00,38915.47,38942.78,38915.47,38927.08,23.11549
2022-05-02 08:55:00,38927.08,38934.99,38919.62,38919.62,10.34908
2022-05-02 08:56:00,38919.62,38919.63,38896.02,38898.55,26.69875
2022-05-02 08:57:00,38898.54,38906.6,38886.55,38894.14,13.21599
2022-05-02 08:58:00,38894.14,38920.0,38890.25,38919.99,21.93088
2022-05-02 08:59:00,38920.0,38934.62,38919.99,38922.16,16.7204
2022-05-02 09:00:00,38922.16,38924.1,38906.05,38913.69,33.74095
2022-05-02 09:01:00,38913.7,38952.61,38913.69,38952.61,26.70365
2022-05-02 09:02:00,38952.6,38969.4,38943.56,38957.4,48.84982
2022-05-02 09:03:00,38957.39,38957.4,38921.97,38921.98,32.1045
2022-05-02 09:04:00,38921.97,38928.14,38910.74,38910.74,16.40252
2022-05-02 09:05:00,38910.75,38946.41,38901.99,38901.99,47.08851
